GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
TMSB10	11.0714672235515	11.5034282929184	11.5948598442738	11.3326946948063	10.9942816352646	10.7409710272649	11.7039782689549	11.4791457177088	10.674217742765	11.554857402527	11.4963186913979	11.1511682108847	11.5873792339751	11.8108566187485	10.6127178332832	11.1995980412471	11.4893222341209	11.4013267104341	11.5617466244665	10.3848184400085
LDHB	10.9993923879213	11.2622996847865	11.3444263125233	10.8494644226992	11.0473677714604	10.4744160739149	11.1417816202055	10.9763664186163	11.0010147474135	11.1505231156636	11.2745608296635	11.1546313132954	11.1442150128382	11.3298101740511	10.4146388893195	11.101641464034	11.2395067953119	11.1802476547873	11.2399417577007	10.692468430572
PTGDS	10.7330192165998	10.0963001862763	11.0522171401856	10.6561945973328	11.1317839060712	10.8871936513525	10.9282027519907	10.5850297930249	10.4878424188897	10.689215846827	10.5296169736659	10.994076870987	11.3266718617778	10.7281172199309	10.6027935500494	10.0460922693604	10.7484745675394	11.4130838789309	10.7268319309111	10.9321744731278
MTCH1	10.7952016638308	11.5105932540624	11.5081632186307	10.8533578783498	10.8969806779101	10.6741353004336	11.4798341346042	11.0648044446498	10.9250107571603	11.2272743532718	11.2285126364819	11.2495225220332	11.4055661776816	11.0686036463799	10.9259790862521	10.6866950656818	11.320263142082	11.1124588970647	11.4184634746078	10.3534613767099
RPL27	10.499761931863	11.6531735414823	11.2794275554315	10.5259416091594	10.8752718625412	10.7924644241214	10.9357368389268	10.88652078568	11.4034973785891	11.0738483960503	11.1296558448204	10.6997775348234	11.0963874510752	11.3248877488285	10.9629562516099	10.7930350754201	10.875921983709	10.9316319217087	11.2121089906432	11.1007446613492
CHN1	11.0294543867666	11.1097977071634	11.0611130844285	10.9223868114801	10.7603200589254	10.1321951291596	10.9873110541979	11.097133823385	9.79247107853062	11.288622378447	10.8820404490528	11.1998512056371	11.09788997885	11.0341145368285	10.466650073262	11.0172789433248	11.177459468234	10.8918733606213	11.0916631646705	10.0298196308824
RPL39	10.2957781166439	11.2690022361775	10.8428606726686	10.805998263028	10.8557508341777	11.3130939477015	10.4970142590587	10.5177878589715	11.3856610808801	10.6754692212486	11.1816675827347	10.3265683813011	10.9444112471859	11.1395803680632	11.2310491903522	10.3483994694291	10.5823897105754	10.9614200402146	11.1023881796218	11.1187271748147
HSP90AA1	11.3462114395005	10.424586217192	11.0013335356298	10.4928007625406	10.6418638141619	11.1412954478257	10.4401093342337	10.9528648070798	11.4870927289941	10.995610784007	10.2604621105817	11.0516578605786	10.9364245166201	10.83616167616	11.6384035948244	10.7160828212853	11.1393884569239	10.5491047529386	10.9796954659205	10.5651830588762
ALDOC	11.295330641545	10.3537272497881	11.2209274548445	11.085654645824	11.3059309340141	10.6003003149135	10.9434179586347	10.8807665327273	10.8221416956284	10.9034298325311	10.1673334109864	10.7610563699306	10.9349708861254	10.8999270907695	10.3854867779649	11.1996578395315	11.2869503531232	10.6638196604902	10.5253016221139	10.5087886597667
CRYAB	11.3603226094185	9.57562045451583	10.9125598205069	11.1256969055848	10.6907563479836	11.2936532906627	11.0134867744289	10.4157245785311	12.1771916854924	10.2583440247826	10.5417332064093	10.5025835214476	10.9048689074024	10.7708092006239	12.056595197301	10.3126098140838	10.4787406258481	10.6681586868992	11.1975758383731	11.4764725923201
