Sample	Region	Class
GSM2233655	FP	AD
GSM2233658	FP	AD
GSM2233660	FP	AD
GSM2233662	FP	AD
GSM2233663	FP	AD
GSM2233672	FP	AD
GSM2233680	FP	AD
GSM2233683	FP	AD
GSM2233685	OVC	AD
GSM2233686	OVC	AD
GSM2233689	OVC	AD
GSM2233691	OVC	AD
GSM2233692	OVC	AD
GSM2233693	OVC	AD
GSM2233694	OVC	AD
GSM2233695	OVC	AD
GSM2233696	OVC	AD
GSM2233700	OVC	AD
GSM2233703	OVC	AD
GSM2233707	OVC	AD
GSM2233709	OVC	AD
GSM2233726	OVC	AD
GSM2233740	ITG	AD
GSM2233744	ITG	AD
GSM2233745	ITG	AD
GSM2233747	ITG	AD
GSM2233750	ITG	AD
GSM2233751	ITG	AD
GSM2233752	ITG	AD
GSM2233753	ITG	AD
GSM2233754	ITG	AD
GSM2233756	ITG	AD
GSM2233757	ITG	AD
GSM2233758	ITG	AD
GSM2233759	ITG	AD
GSM2233760	ITG	AD
GSM2233761	ITG	AD
GSM2233765	ITG	AD
GSM2233771	ITG	AD
GSM2233782	ITG	AD
GSM2233793	ITG	AD
GSM2233798	MTG	AD
GSM2233802	MTG	AD
GSM2233805	MTG	AD
GSM2233806	MTG	AD
GSM2233807	MTG	AD
GSM2233808	MTG	AD
GSM2233809	MTG	AD
GSM2233810	MTG	AD
GSM2233811	MTG	AD
GSM2233812	MTG	AD
GSM2233813	MTG	AD
GSM2233814	MTG	AD
GSM2233816	MTG	AD
GSM2233821	MTG	AD
GSM2233825	MTG	AD
GSM2233828	MTG	AD
GSM2233831	MTG	AD
GSM2233833	MTG	AD
GSM2233841	MTG	AD
GSM2233851	MTG	AD
GSM2233857	STG	AD
GSM2233858	STG	AD
GSM2233861	STG	AD
GSM2233866	STG	AD
GSM2233867	STG	AD
GSM2233868	STG	AD
GSM2233869	STG	AD
GSM2233870	STG	AD
GSM2233872	STG	AD
GSM2233873	STG	AD
GSM2233876	STG	AD
GSM2233877	STG	AD
GSM2233878	STG	AD
GSM2233880	STG	AD
GSM2233883	STG	AD
GSM2233886	STG	AD
GSM2233889	STG	AD
GSM2233891	STG	AD
GSM2233892	STG	AD
GSM2233894	STG	AD
GSM2233896	STG	AD
GSM2233903	STG	AD
GSM2233914	PC	AD
GSM2233917	PC	AD
GSM2233920	PC	AD
GSM2233924	PC	AD
GSM2233925	PC	AD
GSM2233926	PC	AD
GSM2233928	PC	AD
GSM2233930	PC	AD
GSM2233931	PC	AD
GSM2233932	PC	AD
GSM2233933	PC	AD
GSM2233934	PC	AD
GSM2233935	PC	AD
GSM2233937	PC	AD
GSM2233941	PC	AD
GSM2233945	PC	AD
GSM2233947	PC	AD
GSM2233949	PC	AD
GSM2233950	PC	AD
GSM2233952	PC	AD
GSM2233961	PC	AD
GSM2233968	PC	AD
GSM2233970	PC	AD
GSM2233972	AC	AD
GSM2233976	AC	AD
GSM2233978	AC	AD
GSM2233982	AC	AD
GSM2233983	AC	AD
GSM2233984	AC	AD
GSM2233985	AC	AD
GSM2233987	AC	AD
GSM2233988	AC	AD
GSM2233990	AC	AD
GSM2233991	AC	AD
GSM2233992	AC	AD
GSM2233993	AC	AD
GSM2233994	AC	AD
GSM2233995	AC	AD
GSM2233997	AC	AD
GSM2234002	AC	AD
GSM2234007	AC	AD
GSM2234010	AC	AD
GSM2234012	AC	AD
GSM2234031	PAG	AD
GSM2234034	PAG	AD
GSM2234039	PAG	AD
GSM2234041	PAG	AD
GSM2234043	PAG	AD
GSM2234045	PAG	AD
GSM2234046	PAG	AD
GSM2234048	PAG	AD
GSM2234050	PAG	AD
GSM2234051	PAG	AD
GSM2234052	PAG	AD
GSM2234053	PAG	AD
GSM2234054	PAG	AD
GSM2234056	PAG	AD
GSM2234058	PAG	AD
GSM2234061	PAG	AD
GSM2234063	PAG	AD
GSM2234064	PAG	AD
GSM2234066	PAG	AD
GSM2234068	PAG	AD
GSM2234071	PAG	AD
GSM2234073	PAG	AD
GSM2234080	PAG	AD
GSM2234097	TP	AD
GSM2234101	TP	AD
GSM2234102	TP	AD
GSM2234104	TP	AD
GSM2234106	TP	AD
GSM2234107	TP	AD
GSM2234108	TP	AD
GSM2234109	TP	AD
GSM2234110	TP	AD
GSM2234111	TP	AD
GSM2234113	TP	AD
GSM2234118	TP	AD
GSM2234123	TP	AD
GSM2234125	TP	AD
GSM2234127	TP	AD
GSM2234136	TP	AD
GSM2234144	TP	AD
GSM2234146	TP	AD
GSM2234150	PRG	AD
GSM2234153	PRG	AD
GSM2234154	PRG	AD
GSM2234156	PRG	AD
GSM2234160	PRG	AD
GSM2234161	PRG	AD
GSM2234162	PRG	AD
GSM2234164	PRG	AD
GSM2234165	PRG	AD
GSM2234166	PRG	AD
GSM2234167	PRG	AD
GSM2234168	PRG	AD
GSM2234169	PRG	AD
GSM2234171	PRG	AD
GSM2234174	PRG	AD
GSM2234178	PRG	AD
GSM2234182	PRG	AD
GSM2234183	PRG	AD
GSM2234191	PRG	AD
GSM2234198	IFG	AD
GSM2234201	IFG	AD
GSM2234203	IFG	AD
GSM2234207	IFG	AD
GSM2234208	IFG	AD
GSM2234209	IFG	AD
GSM2234211	IFG	AD
GSM2234214	IFG	AD
GSM2234215	IFG	AD
GSM2234216	IFG	AD
GSM2234217	IFG	AD
GSM2234218	IFG	AD
GSM2234219	IFG	AD
GSM2234221	IFG	AD
