GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012
SPAG7	7.81243966727355	7.90613831135915	8.20191645891812	7.51953462794076	8.14007919826965	7.88991735869358	8.09342671589306	7.8474368732768	7.64798691045261	8.12665332946026	7.91643161160678	7.79885055803052	8.00836371233865	8.1766806375129	7.42232773056417	7.8840475424655	8.00683105471079	7.77217242230921	7.8944064548109	7.86468007392797
TAF10	7.80044061097585	7.46349665327091	8.06794370528381	8.08403246786946	7.8789363848553	7.58213367680692	7.9273029905045	8.01007220339818	8.52887691471057	8.02626108315346	7.84926304814454	7.97665572031484	8.01597838520336	8.1676249248968	7.83931253982982	7.93604922672539	7.89910352236462	7.95301669143657	7.77183154054976	8.32510586151527
C1D	5.52745143483804	6.90469280646847	6.5498071862466	5.51934899562742	5.64481104360742	5.33529518207811	5.60656739697173	5.62491626466635	5.5836245265637	6.5480527020203	6.11985839302526	5.8011265798914	6.38943601532991	6.61367212452599	5.56477251930721	5.45309229266773	6.07489737444068	5.76860265901236	6.64202650109989	5.79442440247608
NONO	8.01155236454794	7.49251957960539	7.64844009176337	7.87665366230352	7.82652624464052	7.88018437056221	8.36889299488853	8.11367069809604	7.99797616533282	8.00748696132504	7.43898941187611	8.2346113682542	8.08208011041343	7.8899309698725	7.70157056051042	7.92036546902151	8.26586487808188	7.75025972468322	7.69988572848157	7.48531498779055
RHOA	8.84960540559341	8.25282737998291	8.77700017585804	8.76684803243788	8.96239924336271	8.81991182042183	8.92709678213843	8.78243263848985	9.37230206481712	8.86613357280923	8.37669538390766	8.90532240042361	9.07296513876449	8.94761071641493	8.64867568344097	8.61886344368787	8.96024380033621	8.68861733989308	8.81994862756742	8.70278720664136
RNPS1	8.21442819664787	8.55084088540205	8.43856459347394	8.15633588555533	8.1748002097194	8.09160106242599	8.19206357327917	8.07529609546757	7.97665861866861	8.32451346649915	8.41018866794935	8.50060711534886	8.39993327210012	8.324617318108	8.06757489010436	8.14167206259882	8.38734351666346	8.41171200875731	8.28934175336187	8.1867798611231
RPS24	9.50050002655017	9.44775732294464	9.39370228024507	9.41472718006718	9.55668298457546	9.81968569606233	9.53078817674346	9.55921567095202	9.88015264005498	9.51751563091287	9.43372867631788	9.1685673021331	9.51450990038985	9.72298075343819	9.32295745892254	9.6089057253698	9.52631035854745	9.51161306524015	9.68971187511757	9.59994872313167
RPL30	10.4483294428575	10.2067730931527	10.5660185327309	10.7811655301955	10.9508048563262	10.7748432892862	10.7408719494452	10.5538578378118	11.8044346626404	10.5637277998693	10.6762205900855	10.299228433546	10.8431382146954	10.9549124739279	10.9965245666004	10.6939965367412	10.6019889361955	10.9077098607622	10.9198543382871	11.3760050962027
NPM1	8.36711992138531	8.50494313301156	8.58950317412609	8.35273064101047	8.33452400862551	8.35303751325677	9.30486213704851	8.32270387174889	8.59805836954225	8.44810943490349	8.34169809956515	8.49458108853427	8.59609970809492	8.55013946829961	8.24209665214463	8.39709494739616	8.53938356039725	8.39422940482923	8.47608858193317	8.20492208703559
HSP90AB1	10.239800854359	9.29064946922261	10.3926735710749	9.75762796671847	9.78936931251518	9.83900583104381	10.2233806344372	10.4091432220214	9.97559995434962	10.4200116676523	9.27973019843548	10.524344698252	10.3803978676871	9.92565397560925	10.1475705536044	9.72215787683874	10.9419322417228	9.67045299557865	10.0962853246847	8.95873315176397
IK	7.60905567154174	8.71267723932094	8.3512813908445	7.81936846297501	8.16757786336043	8.19087976134993	9.48842239416421	8.07755344335307	8.94554139378742	8.48242703564646	8.42425842774313	7.79275150373929	8.43550719890447	8.33046450649007	7.75964177880277	8.10275683411952	8.71327753329135	8.2889650421489	8.37214603358627	8.2406694372961
SNX3	9.08749703525967	9.13774026653816	9.50515910372939	9.07024070807488	9.06223125182597	9.07723795208267	9.06577571775774	9.34321559733573	9.69026406548145	9.79148583037779	9.23908871705432	9.50405593069275	9.61747607623384	9.41756948482188	9.37763649109881	9.05426878382226	9.64026911065691	9.17534474599951	9.51049233986555	8.85399701521701
CANX	8.44032255006383	7.92261815665183	8.33253362398307	8.26456543347117	8.55534605186601	8.07516372499853	8.84913865551103	8.36573149154114	8.65004361432888	8.53420880233748	7.73051547086651	8.78041269344702	8.63715557066541	8.33785596477249	7.95255302293415	8.36714843187595	8.88402633734651	8.34515241719205	8.32792100924808	8.03832788644266
SART3	6.47514497418862	6.31583958504234	6.0810680039327	6.19838068269231	6.48085635743837	6.56548936158612	7.1998395251644	6.19360706566276	5.95902514809578	6.19737980264301	5.81299401254877	6.37657969926333	6.33644421116647	6.19049771641418	5.9450557879394	6.16426615083682	6.76835566105805	6.13225008586975	6.46138450978877	6.34721363567704
SMNDC1	6.60813150263732	7.23852719635714	6.75525629406708	6.34518770355231	6.3426076089786	6.02149405514127	6.88116321515338	6.23862517833081	7.22589302389333	6.99709150858211	6.89142095088129	6.00339486238133	7.08085465499831	7.79471459942478	7.0166683545795	6.24747824620686	6.87308603240691	6.84963582787403	7.52906113138726	6.56082262741951
HNRNPD	7.33930519475604	7.67529270358825	7.54067465695042	7.33857278504909	7.46116219544415	7.2673203282029	7.37720871148819	7.43603810839703	7.3611149291996	7.62407603010934	7.2891291361018	7.41238734769556	7.78423170254866	7.95013846476891	6.8241618549382	7.58034549839548	7.81810110716533	7.47194274411204	7.78927574486255	7.48807973191114
RPL14	8.31988224956661	8.87439297347864	8.66357866434842	8.26207214366675	8.65726450869166	8.45471463048364	8.98874111126413	8.51013028872813	8.7997184148759	8.57148201139327	8.38270208087729	8.10337932450205	8.55479322628488	8.72281068567936	8.62170852301222	8.79736107571698	8.39980527636112	8.5703568436689	8.64369783979216	8.78337379760639
GUK1	7.25634201130724	7.47355881326392	7.6642171178666	7.20552665834874	7.41563504148594	7.60336400534918	7.71852601374526	7.49941194883458	7.68569419956662	7.76476822299794	6.96327773825817	7.64758371041767	7.52862124149805	7.57114542376207	6.90278698954738	7.42604121359432	7.62029678344842	7.31118639764807	7.30412911239152	7.17638578593945
OAZ1	10.8525673373136	10.3049390084408	10.9287332889878	10.1752003314969	10.7398119954175	10.6901152559553	10.5463997404842	10.9886563090574	10.5252158304775	11.117198048816	9.83961237091741	11.0194633188691	11.000413794291	10.5981471742813	10.1103131439448	10.7470561973562	11.1467051852636	10.4035794756875	10.5886978233956	9.66726640525635
ATP6V0B	8.13701700536425	8.30558813460433	8.72100726428143	8.04285015107831	8.29410391306218	8.15688649836612	8.91122688229484	8.23510436309577	7.84802056811092	8.98092351132705	7.86135907512811	8.64348183982499	8.8260921999532	8.47141217385661	7.66697066702958	8.10794648110368	9.00541198056895	8.17660212781142	8.56485370845859	7.80192673568782
RPS6	9.52799559960392	9.01605893748144	9.40353757591458	9.42636816185428	9.62235591424223	9.85833942890659	9.67891829402781	9.58061403114233	10.1061250484365	9.54676170975218	9.15928985082428	9.22130440691559	9.65590631865769	9.5622797201326	9.58982917942502	9.47268085787321	9.43508597435556	9.54058978481545	9.53708916465283	9.8105464633456
