TF	TF.1	score	module
SKIL	PIAS4	1	AC-AD-7
UBE2I	SKIL	1	AC-AD-7
ZMYM2	SKIL	1	AC-AD-7
SKP2	SIRT3	1	AC-AD-7
SMARCA1	FOXJ2	1	AC-AD-7
SMARCA1	SETD1A	1	AC-AD-7
SNAI1	PRMT5	1	AC-AD-7
SUMO1	SOX3	1	AC-AD-7
SUMO1	SOX10	1	AC-AD-7
SOX10	ALX4	1	AC-AD-7
SRPK2	SOX10	1	AC-AD-7
UBE2I	SOX10	1	AC-AD-7
SRPK2	SRPK1	1	AC-AD-7
SRPK1	CBX5	1	AC-AD-7
SRPK1	PHB2	1	AC-AD-7
SRPK1	SFMBT1	1	AC-AD-7
TFEB	SRPK1	1	AC-AD-7
SRPK1	SAFB2	1	AC-AD-7
SRPK2	CBX5	1	AC-AD-7
SRPK2	DIDO1	1	AC-AD-7
SRPK2	RBM15	1	AC-AD-7
SRPK2	SNIP1	1	AC-AD-7
SUPT16H	SRPK2	1	AC-AD-7
TERF1	TBX1	1	AC-AD-7
TERF2	TBX1	1	AC-AD-7
TERF1	TBPL1	1	AC-AD-7
TERF1	PRMT5	1	AC-AD-7
TOX4	TERF1	1	AC-AD-7
XPO1	TERF1	1	AC-AD-7
TERF2	TERF1	1	AC-AD-7
TOX4	TERF2	1	AC-AD-7
TERF2	CARM1	1	AC-AD-7
TERF2	BANP	1	AC-AD-7
TERF2	TBPL1	1	AC-AD-7
TERF2	PRMT5	1	AC-AD-7
TFCP2	CDC73	1	AC-AD-7
TFCP2	SUMO1	1	AC-AD-7
UBP1	TFCP2	1	AC-AD-7
THRA	SUMO1	1	AC-AD-7
THRA	NCOA6	1	AC-AD-7
THRA	MED16	1	AC-AD-7
THRA	NCOA2	1	AC-AD-7
THRA	MED25	1	AC-AD-7
TOP2B	FOXD3	1	AC-AD-7
UBE2I	TOP2B	1	AC-AD-7
TOP2B	SUMO1	1	AC-AD-7
XPO1	TOP2B	1	AC-AD-7
TP73	CEBPZ	1	AC-AD-7
TP73	CASP8AP2	1	AC-AD-7
TP73	SUMO1	1	AC-AD-7
UBE2I	TP73	1	AC-AD-7
UBE2I	CASP8AP2	1	AC-AD-7
UBE2I	HDAC4	1	AC-AD-7
XPO1	UBE2I	1	AC-AD-7
UBE2I	PIAS4	1	AC-AD-7
UBE2I	SNIP1	1	AC-AD-7
ZMYM2	UBE2I	1	AC-AD-7
UBE2I	SUMO1	1	AC-AD-7
UBE2I	SETX	1	AC-AD-7
UBE2I	NUP153	1	AC-AD-7
UBE2I	CARM1	1	AC-AD-7
UBE2I	SETBP1	1	AC-AD-7
UBE2I	PCGF2	1	AC-AD-7
SUMO1	MZF1	1	AC-AD-7
SUMO1	NCOA2	1	AC-AD-7
SUMO1	KLF7	1	AC-AD-7
SUMO1	CASP8AP2	1	AC-AD-7
SUMO1	NUP153	1	AC-AD-7
ZNF362	SUMO1	1	AC-AD-7
SUMO1	PSIP1	1	AC-AD-7
SUMO1	SETBP1	1	AC-AD-7
ZNF711	SUMO1	1	AC-AD-7
ZMYM2	SUMO1	1	AC-AD-7
SUMO1	NR1H4	1	AC-AD-7
SUMO1	PIAS4	1	AC-AD-7
SUMO1	CHAF1A	1	AC-AD-7
SUMO1	FXR1	1	AC-AD-7
ZNF592	SUMO1	1	AC-AD-7
SUMO1	HDAC4	1	AC-AD-7
SUMO1	SETX	1	AC-AD-7
SUMO1	SAFB2	1	AC-AD-7
SUMO1	RBM15	1	AC-AD-7
SUMO1	NR1I2	1	AC-AD-7
ZNF224	SUMO1	1	AC-AD-7
SUMO1	ARID5B	1	AC-AD-7
UBP1	FOXD3	1	AC-AD-7
ZNF184	UBP1	1	AC-AD-7
XPO1	NUP153	1	AC-AD-7
ZNF8	CBX5	1	AC-AD-7
ZNF274	ZNF10	1	AC-AD-7
ZNF202	MZF1	1	AC-AD-7
RYBP	PCGF2	1	AC-AD-7
PCGF2	CBX7	1	AC-AD-7
ZNF250	ZNF165	1	AC-AD-7
