TF	target	score	module
CBFA2T2	XPO7	1	AC-AD-7
CBFA2T2	ZNF292	1	AC-AD-7
CBX5	CHKA	1	AC-AD-7
CBX5	CRBN	1	AC-AD-7
CBX5	DGKG	1	AC-AD-7
CBX5	DUSP22	1	AC-AD-7
CBX5	IFIT2	1	AC-AD-7
CBX5	SH2B1	1	AC-AD-7
CBX5	STX16	1	AC-AD-7
CBX5	UNC13A	1	AC-AD-7
CBX5	ZMYND11	1	AC-AD-7
CBX7	AIP	1	AC-AD-7
CBX7	ANKRD36B	1	AC-AD-7
CBX7	ARIH2	1	AC-AD-7
CBX7	BBX	1	AC-AD-7
CBX7	CALM1	1	AC-AD-7
CBX7	CHD4	1	AC-AD-7
CBX7	COX7A2	1	AC-AD-7
CBX7	CREB1	1	AC-AD-7
CBX7	GNAI2	1	AC-AD-7
CBX7	GSK3B	1	AC-AD-7
CBX7	MAPRE1	1	AC-AD-7
CBX7	PRKCI	1	AC-AD-7
CBX7	RABL3	1	AC-AD-7
CBX7	SH2B1	1	AC-AD-7
CBX7	SOX2	1	AC-AD-7
CBX7	TNPO2	1	AC-AD-7
CBX7	TNRC6B	1	AC-AD-7
CBX7	TPR	1	AC-AD-7
CBX7	TXNIP	1	AC-AD-7
CC2D1A	ABT1	1	AC-AD-7
CC2D1A	ALAD	1	AC-AD-7
CC2D1A	ARFRP1	1	AC-AD-7
CC2D1A	ATF6	1	AC-AD-7
CC2D1A	BSG	1	AC-AD-7
CC2D1A	CRADD	1	AC-AD-7
CC2D1A	GNAI2	1	AC-AD-7
CC2D1A	HMGB1	1	AC-AD-7
CC2D1A	IL6ST	1	AC-AD-7
CC2D1A	MAP3K7	1	AC-AD-7
CC2D1A	MAPRE1	1	AC-AD-7
CC2D1A	NOL9	1	AC-AD-7
CC2D1A	NUDT3	1	AC-AD-7
CC2D1A	PARP6	1	AC-AD-7
CC2D1A	PCBP2	1	AC-AD-7
CC2D1A	PIK3R1	1	AC-AD-7
CC2D1A	RASSF4	1	AC-AD-7
CC2D1A	RC3H2	1	AC-AD-7
CC2D1A	SLC9A1	1	AC-AD-7
CC2D1A	SPTB	1	AC-AD-7
CC2D1A	TNPO2	1	AC-AD-7
CC2D1A	TXNIP	1	AC-AD-7
CC2D1A	ZNF212	1	AC-AD-7
CDC5L	BBX	1	AC-AD-7
CDC5L	CHD4	1	AC-AD-7
CDC5L	DPF1	1	AC-AD-7
CDC5L	PCBP2	1	AC-AD-7
CDC5L	SET	1	AC-AD-7
CDC5L	TPR	1	AC-AD-7
CDC73	EPN1	1	AC-AD-7
CDC73	GPS2	1	AC-AD-7
CDC73	KDELR1	1	AC-AD-7
CDC73	MAP7	1	AC-AD-7
CDC73	TPR	1	AC-AD-7
CDC73	UBE2G2	1	AC-AD-7
CEBPZ	ABT1	1	AC-AD-7
CEBPZ	CALU	1	AC-AD-7
CEBPZ	CCT8	1	AC-AD-7
CEBPZ	CEP68	1	AC-AD-7
CEBPZ	CRBN	1	AC-AD-7
CEBPZ	EFNB2	1	AC-AD-7
CEBPZ	EIF4B	1	AC-AD-7
CEBPZ	FKBP5	1	AC-AD-7
CEBPZ	GANAB	1	AC-AD-7
CEBPZ	GOLGA3	1	AC-AD-7
CEBPZ	HIPK1	1	AC-AD-7
CEBPZ	IL6ST	1	AC-AD-7
CEBPZ	KPNB1	1	AC-AD-7
CEBPZ	MAP3K12	1	AC-AD-7
CEBPZ	MAP3K7	1	AC-AD-7
CEBPZ	MRPL46	1	AC-AD-7
CEBPZ	NKTR	1	AC-AD-7
CEBPZ	PCBP2	1	AC-AD-7
CEBPZ	PRPF40A	1	AC-AD-7
CEBPZ	SLC2A8	1	AC-AD-7
CEBPZ	SLC46A3	1	AC-AD-7
CEBPZ	STX16	1	AC-AD-7
CEBPZ	TNRC6B	1	AC-AD-7
CHAF1A	DICER1	1	AC-AD-7
CHAF1A	NUDT3	1	AC-AD-7
CHAF1A	WWP1	1	AC-AD-7
CHAF1A	XPO7	1	AC-AD-7
CHAF1B	BSG	1	AC-AD-7
CHAF1B	CALM1	1	AC-AD-7
CHAF1B	DNAJB14	1	AC-AD-7
CHAF1B	DUSP22	1	AC-AD-7
CHAF1B	FLOT2	1	AC-AD-7
CHAF1B	GNB2	1	AC-AD-7
CHAF1B	GSK3B	1	AC-AD-7
CHAF1B	JUNB	1	AC-AD-7
CHAF1B	KIF3B	1	AC-AD-7
CHAF1B	KLF6	1	AC-AD-7
CHAF1B	MAT2A	1	AC-AD-7
CHAF1B	MBP	1	AC-AD-7
CHAF1B	MPDU1	1	AC-AD-7
CHAF1B	NUDT3	1	AC-AD-7
CHAF1B	PCBP2	1	AC-AD-7
CHAF1B	SEC14L1	1	AC-AD-7
CHAF1B	SLC9A1	1	AC-AD-7
CHAF1B	TCF4	1	AC-AD-7
CHAF1B	TTLL12	1	AC-AD-7
CHAF1B	TXNIP	1	AC-AD-7
CHAF1B	VASP	1	AC-AD-7
CHAF1B	WWP1	1	AC-AD-7
CIC	AAAS	1	AC-AD-7
CIC	APC	1	AC-AD-7
CIC	CRADD	1	AC-AD-7
CIC	EIF4B	1	AC-AD-7
CIC	RANBP3	1	AC-AD-7
CIITA	AIP	1	AC-AD-7
CIITA	AP2B1	1	AC-AD-7
CIITA	BRD2	1	AC-AD-7
CIITA	CAB39L	1	AC-AD-7
CIITA	CEP350	1	AC-AD-7
CIITA	CLIC4	1	AC-AD-7
CIITA	CRADD	1	AC-AD-7
CIITA	DEDD	1	AC-AD-7
CIITA	DYNC1LI2	1	AC-AD-7
CIITA	FOXN3	1	AC-AD-7
CIITA	GANAB	1	AC-AD-7
CIITA	GNAI2	1	AC-AD-7
CIITA	GRIK5	1	AC-AD-7
CIITA	GSK3B	1	AC-AD-7
CIITA	HIPK1	1	AC-AD-7
CIITA	HMGB1	1	AC-AD-7
CIITA	IPO8	1	AC-AD-7
CIITA	LRRC41	1	AC-AD-7
CIITA	MAP3K7	1	AC-AD-7
CIITA	MPDU1	1	AC-AD-7
