GSM2233972	GSM2233976	GSM2233978	GSM2233982	GSM2233983	GSM2233984	GSM2233985	GSM2233987	GSM2233988	GSM2233990	GSM2233991	GSM2233992	GSM2233993	GSM2233994	GSM2233995	GSM2233997	GSM2234002	GSM2234007	GSM2234010	GSM2234012	GSM2233971	GSM2233974	GSM2233977	GSM2233979	GSM2233998	GSM2233999	GSM2234000	GSM2234001	GSM2234005	GSM2234011	GSM2234013	GSM2234014	GSM2234017	GSM2234020	GSM2234027	GSM2234029
HOXA2-RAD21	7.69769862646206	7.40824143569142	7.21519337964847	6.24069112499029	7.31261963611914	7.53005366716613	6.91554289989017	7.11033842954018	6.84944797343968	7.28025239781803	8.41890536440519	7.46269628383169	7.06374533043754	6.96924712750945	7.88015063491673	7.3786449827663	7.98167547183397	7.51243229357826	7.24674090198789	7.56165165828887	7.7422292981268	8.28828236867848	7.50721953131759	7.34282226309521	7.92116961107462	7.49628812755181	7.35777474705057	7.23142109942307	7.58647747436129	7.37145285060031	7.23036584520521	7.79317511591665	7.41239544196507	7.38425244114867	7.40044468522103	7.20555342526502
PHF2-RAD21	7.40603630057325	6.64468807366802	7.32973964674937	7.86528098304385	7.52285212315198	7.59124805969302	6.02183242902703	6.96864867482637	7.33621401682467	7.60627644460297	7.57851416017067	7.41722576062318	7.36910569789876	7.47934740938933	7.89430868219827	6.85428570722615	8.65400797435876	7.72653175817655	7.56683523049955	8.74605363579278	7.40941028863374	8.3895719052687	7.7599938418913	7.78509384597041	7.96138059513126	7.63608565260576	7.36574675090625	7.72180248389881	7.82025509126116	7.55816164953083	7.39591654453893	7.30500060993104	7.38737899752948	7.85354547440205	7.47969964090103	7.58303787528014
ZFHX3-RAD21	8.74808646707615	7.36263911997787	7.39934093915332	4.72423667139893	7.68927030483357	7.50432211643616	6.75905269314245	7.30406085535955	6.90777122926437	7.1275740947062	8.9413713604502	7.7941142965044	7.0862820506	7.11685787080557	8.09903790706909	7.66812110567059	7.48409770406298	7.51151910935434	7.77762754496743	8.2407546158106	7.64969103628641	8.77316182478486	7.76404332079176	7.59736592070234	8.2545300600231	7.78437785271873	6.83872756877682	8.07191375121788	7.46856777736492	7.24259676036118	7.89037909660576	8.0072062906769	7.86329661579425	7.66764598929046	7.73518036254494	7.57367701262682
SETX-AP2B1	5.16194691260492	4.77021815083074	5.66680602445061	4.96899371287192	5.03372510629733	4.98761864268411	4.7953921362263	5.08047486719572	5.06884976524795	5.21716529634924	5.89316776159261	5.34755445991033	5.27049163449338	5.03523343721197	6.32871637324575	5.19826575729292	6.14638991967949	5.23550996569638	5.11047739358393	5.27388067619461	5.07441607076167	4.52561915675079	5.17003279622261	5.51705246488028	6.14547302060163	5.34314935675701	5.44647699579198	5.72569319075426	5.4750345294845	5.29142034788514	6.81558068897947	5.39335987225806	5.40172161696823	5.59700766197885	5.36732944782487	5.37119208050058
ELF2-AP2B1	5.32504217245686	2.99999009399968	6.38152536972075	5.12806587220311	5.17338977664302	4.64850958444781	4.23360465529701	4.75727171684069	4.55893629071872	5.06019926242853	5.30899586156519	5.11245543768408	4.99680588231706	4.99982477021297	7.15724284568256	5.09829236322088	7.02120179074748	4.41941146675016	5.119479735087	5.388394499462	5.48600664641428	4.02645763083784	4.70201937831625	5.87561867467316	5.92710155367878	4.7688341566553	3.28265495802381	5.00975151590853	6.00985734495174	5.01229927627006	7.29181383530263	5.52388692866177	5.13066531291484	5.1909764386231	4.67209331151859	4.41680999718088
DIDO1-AP2B1	4.64976311337271	4.427615781043	5.43920242846988	4.91392583518777	5.0933341125988	4.60702262620373	5.12442984292555	4.94551822724056	5.03195338682688	5.13490319852444	5.44334520834694	5.20376659048738	5.14044366379541	4.99621441049983	6.89264027116492	5.10419947770849	6.37767434065475	4.98510273640629	4.99697007381477	5.23225224169612	5.86089101563903	3.55470568410723	4.74810907063501	5.53872573817382	6.15921241194387	4.99443304918535	5.18188535752283	5.78259012368818	5.70332143309496	5.01623492677739	4.81352740198213	6.89434892913707	5.24130671031965	5.22742631281247	4.67379152509498	4.30467329335129
HMGA1-AP2B1	6.7642554920296	6.77145831794338	3.63245127648887	5.18743065878242	5.87128708843498	5.63247939119847	6.17455036595477	5.70257290440949	5.96051250730282	5.67295912130973	7.09936948278458	5.8548559032005	5.80434226880756	5.5934141832299	6.50040182677218	5.62067619308682	5.14869944474897	5.76993251071572	5.58064473412996	5.87900030918033	7.04152328708808	4.15187563091702	5.64933905131801	5.34567267104048	8.45242271712361	5.94261032017192	6.69523002964684	6.75162159395914	5.29318679049111	5.6662977646113	1.31030358030137	8.54765664320789	6.27869002683208	5.51706803141448	5.46741754739057	5.25714579179014
PAX3-AP2B1	6.56285042097942	7.0023341230837	3.11346341800773	5.24215620833125	5.60414325561284	5.3830605623736	5.42914205648711	5.46314483754323	5.51547464381768	5.47725594521143	7.70822358339213	5.49756071672641	5.48184023134178	5.25753348390899	5.673909596724	5.38788381323739	5.23845478530281	5.55861061058155	5.18838679273831	5.56868385003479	6.69421285459667	4.14376298926032	5.35331698157225	4.63019399585392	7.7990736295871	5.75334999047188	7.19502662444114	6.56838000639685	4.83848927286228	5.45185779036265	1.06460553796754	9.0362448768511	6.01241705898136	5.08819296917008	5.31015867623638	5.26981049987585
NFE2L1-AP2B1	5.86898475719462	6.70916725342897	3.3354680056856	5.21975552446884	5.89806170450086	5.50970255478518	5.94256759607067	5.59912106978244	5.50675891188175	5.44189665791504	7.00315962344051	5.31815745134719	5.45047538307999	5.11461136511736	5.645206389468	5.35444595007158	6.14856125625457	5.48415474032909	4.81392348968834	5.6462385469213	6.26196132050714	3.02090081000691	5.1148001363302	4.66481837592774	8.5854816555219	5.61286004424888	6.21770808309205	6.90978771989758	4.36091335274	5.16324569893737	0.546546385507199	8.55706282716905	6.17536203185881	4.75807494155617	4.85363319443444	3.86200744117558
MEF2C-AP2B1	6.04498701161887	5.90476925443947	5.52759409466327	5.86254683054165	6.0263946857534	5.75780466829811	5.58374685078985	5.8184535028503	5.95243065644976	5.92911574622546	7.36949154837842	6.00793839502833	5.89540322601307	5.86041951746297	6.46849307908823	5.9823830949916	6.39717845936065	5.75358729314857	5.79520089203572	5.99222434907365	6.26847238820544	4.94933935899516	5.81029989059675	5.65127377645388	6.78791742300031	6.00831638391421	6.42627951314891	6.56986363145485	6.17524071111708	5.85686995095493	5.77946124554228	7.74336350318137	6.09153630585163	5.89956465751273	5.85076936643794	5.52264639207699
